City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Reedley,24194,5.08,4762.598425,23.6,NA,0.325,0.229,0.336,0.161,0.033,0.095,0.041,1175,0.615,0.092,3.6,6239,0.221,4758.9,40545000,0.262,0.011,S,0.763,144939000,F,0.007,6867,0.583,20756,6362,0.19,NA,223700,0.57,0.859,0.166,5.08,Z,17138,0.49,17190000,0.637,46693,138,2,9,15,112,522,162,250,110,3
Rialto,99171,22.35,4437.181208,31.7,596030000,0.329,0.147,0.281,0.086,0.023,0.07,0.047,5862,0.669,0.087,4.01,24716,0.192,4437,766593000,0.318,0.011,S,0.676,524428000,0.149,0.164,27203,0.44,91873,5350,0.126,NA,301100,0.571,0.822,0.079,22.35,0.004,16040,0.514,68676000,0.652,50555,497,7,32,193,265,2565,721,1338,506,10
Richmond,103701,30.07,3448.653143,31.8,D,0.249,0.164,0.322,0.268,0.135,0.102,0.056,6744,0.54,0.074,2.82,35570,0.372,3448.9,1127900000,0.37,0.006,0.178,0.395,1024634000,0.165,0.266,39328,0.314,99216,10194,0.171,NA,408200,0.473,0.804,0.045,30.07,0.005,24847,0.513,64462000,0.796,54012,1176,21,44,405,706,4623,1521,1506,1596,51
Ridgecrest,27616,20.77,1329.610014,15.4,NA,0.273,0.132,0.084,0.246,0.044,0.124,0.057,1974,0.621,0.082,2.57,10473,0.221,1329.9,11986000,0.306,0.012,S,0.179,298174000,S,0.04,11915,0.774,24927,11779,0.689,NA,188300,0.136,0.784,0.108,20.77,0.005,26825,0.499,45541000,0.883,57693,130,3,12,12,103,611,210,348,53,21
Rio Vista,7360,6.69,1100.149477,29.9,NA,0.156,0.098,0.107,0.253,0.049,0.323,0.037,680,0.77,0.037,2.06,3331,0.043,1100,D,0.204,0.007,S,0.124,60580000,F,0.051,3890,0.816,4571,8128,0.743,NA,329300,0.128,0.822,0.61,6.69,0.002,31820,0.519,7551000,0.931,54568,27,0,1,3,23,138,55,74,9,0
Ripon,14297,5.3,2697.54717,30.3,NA,0.288,0.107,0.127,0.272,0.042,0.118,0.05,1083,0.736,0.066,3.16,4364,0.117,2695,297550000,0.174,0.009,S,0.222,197207000,F,0.015,5129,0.797,10146,14026,0.689,NA,379400,0.238,0.859,0.409,5.31,0.003,30831,0.511,17468000,0.874,74598,22,0,3,4,15,251,33,198,20,3
Riverbank,22678,4.09,5544.743276,28.9,182743000,0.311,0.149,0.252,0.133,0.034,0.083,0.052,1254,0.751,0.086,3.46,6296,0.063,5542,6487000,0.341,0.012,S,0.521,180650000,F,0.021,7069,0.659,15826,8926,0.395,NA,253700,0.451,0.854,0.433,4.09,0.004,20328,0.502,17823000,0.728,58308,36,1,1,9,25,644,218,348,78,4
Riverside,303871,81.14,3745.020951,28.8,2569943000,0.268,0.149,0.246,0.22,0.074,0.086,0.051,22334,0.586,0.072,3.23,90865,0.293,3745,2854887000,0.285,0.011,0.102,0.49,4757498000,0.059,0.07,98444,0.565,255166,16371,0.34,NA,345400,0.432,0.8,0.191,81.14,0.004,22665,0.506,456493000,0.776,56991,1448,9,78,502,859,9963,2068,6434,1461,49
Rocklin,56974,19.54,2915.762538,26.8,143366000,0.274,0.044,0.104,0.41,0.072,0.109,0.05,5219,0.699,0.063,2.68,20170,0.216,2915.6,855446000,0.258,0.007,S,0.115,545940000,S,0.015,22010,0.826,36330,10627,0.755,NA,420000,0.138,0.826,0.568,19.54,0.003,34201,0.516,71365000,0.945,80379,59,0,7,24,28,1032,215,750,67,19
Rohnert Park,40971,7,5853,26.5,194876000,0.209,0.113,0.151,0.251,0.052,0.093,0.057,2902,0.567,0.056,2.52,16066,0.36,5850.5,225266000,0.412,0.01,S,0.221,610819000,0.014,0.019,16551,0.761,42236,15155,0.662,NA,399200,0.217,0.801,-0.03,7,0.004,28263,0.512,94885000,0.895,57387,164,1,9,22,132,836,143,639,54,10
