City,"Population, 2010  ",Area,Population Density (2010),"Mean travel time to work (minutes), workers age 16+, 2006-2010  ","Manufacturers shipments, 2007","Persons under 18 years, percent, 2010  ","Persons below poverty level, percent, 2006-2010  ","Foreign born persons, percent,  2006-2010  ","Bachelor's degree or higher, pct of persons age 25+, 2006-2010  ","Asian persons, percent, 2010 ","Persons 65 years and over, percent,  2010  ","Persons reporting two or more races, percent, 2010  ","Total number of firms, 2007  ","Homeownership rate, 2006-2010  ","Persons under 5 years, percent, 2010  ","Persons per household, 2006-2010  ","Households, 2006-2010  ","Housing units in multi-unit structures, percent, 2006-2010  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ","Women-owned firms, percent, 2007  ","American Indian and Alaska Native persons, percent, 2010 ","Asian-owned firms, percent, 2007  ","Persons of Hispanic or Latino origin, percent, 2010 ","Retail sales, 2007 ","Black-owned firms, percent, 2007  ","Black persons, percent, 2010 ","Housing units, 2010  ","White persons, percent, 2010 ","Population, 2000  ","Retail sales per capita, 2007  ","White persons not Hispanic, percent, 2010  ","Population, 2011 estimate  ","Median value of owner-occupied housing units, 2006-2010  ","Language other than English spoken at home, pct age 5+, 2006-2010  ","Living in same house 1 year & over, 2006-2010  ","Population, percent change, 2000 to 2010  ","Land area in square miles, 2010  ","Native Hawaiian and Other Pacific Islander, percent, 2010 ",Per capita money income in past 12 months (2010 dollars) 2006-2010 ,"Female persons, percent, 2010  ","Accommodation and food services sales, 2007","High school graduates, percent of persons age 25+, 2006-2010  ",Median household income 2006-2010  ,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
Adelanto,31765,56.01,567.1308695,39.5,385847000,0.372,0.256,0.21,0.082,0.019,0.044,0.056,1658,0.612,0.103,3.96,7040,0.137,567.1,25219000,S,0.013,S,0.583,52183000,0.21,0.205,9086,0.438,18130,1905,0.17,NA,170500,0.459,0.718,0.752,56.01,0.006,12337,0.486,8924000,0.652,43305,242,4,9,39,190,726,359,273,94,13
Agoura Hills,20330,7.79,2609.756098,28.8,NA,0.241,0.04,0.166,0.597,0.075,0.113,0.036,3604,0.8,0.044,2.75,7393,0.162,2608.8,270199000,0.272,0.003,S,0.095,281857000,S,0.013,7585,0.843,20537,12791,0.786,NA,740200,0.21,0.912,-0.01,7.79,0.001,53776,0.507,81486000,0.955,106886,18,0,2,1,15,240,59,173,8,0
Alameda,73812,10.61,6956.833176,27.2,1219286000,0.207,0.101,0.276,0.456,0.312,0.135,0.071,7102,0.488,0.057,2.46,29177,0.469,6956.2,2014726000,S,0.006,0.285,0.11,517321000,0.043,0.064,32351,0.508,72259,7440,0.453,NA,662300,0.369,0.836,0.021,10.61,0.005,38434,0.522,107626000,0.907,74221,173,1,15,74,83,1964,389,1360,215,10
Albany,18539,1.79,10356.98324,29.1,NA,0.25,0.087,0.32,0.688,0.312,0.1,0.067,2281,0.507,0.076,2.46,7283,0.423,10368.6,10738000,0.339,0.005,0.17,0.102,183653000,S,0.035,7889,0.546,16444,11619,0.493,NA,625400,0.398,0.792,0.127,1.79,0.002,36819,0.524,23027000,0.946,71994,37,0,5,24,8,582,95,392,95,4
Alhambra,83089,7.63,10889.7772,29.1,393713000,0.189,0.127,0.527,0.316,0.529,0.143,0.035,9297,0.423,0.052,2.85,28804,0.429,10888.4,561275000,0.323,0.006,0.578,0.344,1491486000,0.026,0.015,30915,0.283,85804,17679,0.1,NA,514800,0.742,0.89,-0.032,7.63,0.001,24327,0.527,143060000,0.788,51527,185,3,8,82,92,2075,345,1460,270,18
Aliso Viejo,47823,7.47,6402.008032,26,558156000,0.259,0.037,0.25,0.53,0.146,0.053,0.057,6000,0.629,0.077,2.56,18077,0.376,6400.3,1272990000,S,0.003,S,0.171,662801000,0.014,0.02,18867,0.72,40166,16269,0.618,NA,558100,0.313,0.826,0.191,7.47,0.002,43231,0.519,53507000,0.945,95498,37,0,4,8,25,439,87,324,28,3
American Canyon,19454,4.84,4019.421488,32.6,D,0.283,0.051,0.297,0.282,0.329,0.096,0.066,1244,0.859,0.069,3.3,5354,0.044,4021.9,252722000,0.327,0.007,S,0.257,176668000,S,0.079,5982,0.389,9774,10914,0.285,NA,419000,0.418,0.869,0.99,4.84,0.009,27734,0.51,15449000,0.831,80556,38,0,2,20,16,515,100,375,40,1
Anaheim,336265,49.84,6746.890048,26.6,7648079000,0.273,0.137,0.383,0.231,0.148,0.093,0.044,26108,0.491,0.077,3.32,99283,0.439,6747.6,7962095000,0.254,0.008,0.216,0.528,3679288000,S,0.028,104237,0.527,328014,11179,0.275,NA,503000,0.6,0.835,0.025,49.84,0.005,22911,0.503,1405279000,0.737,57807,1161,7,88,492,574,8473,1594,5869,1010,47
Anderson,9932,6.37,1559.183673,16.6,NA,0.276,0.222,0.073,0.101,0.026,0.128,0.054,777,0.415,0.08,2.49,3972,0.296,1558.7,9050000,0.257,0.043,0.057,0.108,222466000,F,0.007,4211,0.833,9022,21203,0.783,NA,194300,0.136,0.821,0.101,6.37,0.002,16760,0.533,18378000,0.811,34852,77,0,5,10,62,510,90,394,26,2
Antioch,102372,28.35,3611.005291,39.3,NA,0.281,0.134,0.221,0.201,0.105,0.088,0.077,6274,0.673,0.071,3.2,31119,0.168,3611.1,162751000,0.307,0.009,0.144,0.317,957135000,0.082,0.173,34849,0.489,90532,9691,0.356,NA,388300,0.332,0.817,0.131,28.35,0.008,25458,0.513,121268000,0.842,66351,864,13,32,313,506,3096,1087,1049,960,36
Arcadia,56364,10.93,5156.816102,28.1,192453000,0.218,0.091,0.497,0.522,0.592,0.163,0.028,9308,0.634,0.043,2.91,18983,0.286,5159.2,619707000,0.295,0.003,0.503,0.121,900050000,0.013,0.012,20686,0.323,53054,16265,0.257,NA,786400,0.628,0.894,0.062,10.93,Z,37973,0.523,180292000,0.915,77024,88,1,5,36,46,1737,364,1267,106,3
Arcata,17231,9.1,1893.516484,16.2,198035000,0.126,0.285,0.068,0.417,0.026,0.082,0.066,2213,0.4,0.036,2.16,7183,0.392,1894.1,47605000,S,0.023,S,0.116,166011000,F,0.02,7722,0.818,16651,9776,0.763,NA,349800,0.114,0.685,0.035,9.1,0.002,20938,0.502,43425000,0.909,32017,40,0,6,14,20,648,172,444,32,15
Arroyo Grande,17252,5.84,2954.109589,18.2,NA,0.211,0.059,0.075,0.351,0.034,0.202,0.046,2475,0.7,0.049,2.37,7051,0.158,2956.6,23048000,0.296,0.007,0.035,0.157,352532000,S,0.009,7628,0.853,15851,20906,0.769,NA,541100,0.125,0.831,0.088,5.84,0.001,32617,0.519,32840000,0.908,58725,25,0,3,5,17,317,76,224,17,2
Artesia,16522,1.62,10198.76543,24.7,NA,0.225,0.093,0.433,0.225,0.371,0.136,0.036,1753,0.597,0.053,3.44,4593,0.199,10192.5,144824000,S,0.006,0.496,0.358,210482000,S,0.036,4697,0.39,16380,13050,0.213,NA,475500,0.631,0.904,0.009,1.62,0.002,21032,0.504,61742000,0.786,56777,64,0,3,33,28,265,81,140,44,1
Arvin,19304,4.82,4004.979253,25.1,NA,0.384,0.331,0.477,0.036,0.008,0.051,0.042,624,0.518,0.115,4.57,3991,0.214,4005.8,D,S,0.012,S,0.927,28831000,F,0.01,4476,0.531,12956,1943,0.051,NA,169000,0.9,0.913,0.49,4.82,Z,9012,0.48,4228000,0.317,32949,187,0,1,19,167,500,186,232,82,14
Atascadero,28310,25.64,1104.134165,22.3,NA,0.214,0.088,0.051,0.274,0.024,0.13,0.036,3560,0.667,0.059,2.43,10453,0.201,1104.1,32271000,0.276,0.01,S,0.156,356336000,S,0.021,11505,0.864,26411,12774,0.768,NA,447300,0.099,0.823,0.072,25.64,0.002,29862,0.492,36626000,0.882,65479,79,0,10,8,61,620,152,435,33,5
Atwater,28168,6.09,4625.287356,21.2,158638000,0.32,0.234,0.22,0.122,0.05,0.104,0.049,S,0.545,0.089,3.31,8229,0.218,4627.6,D,S,0.013,S,0.526,151923000,S,0.043,9771,0.654,23113,5702,0.358,NA,214600,0.441,0.801,0.219,6.09,0.003,17768,0.511,27866000,0.735,42226,114,4,6,23,81,1128,322,700,106,14
Auburn,13330,7.14,1866.946779,23.9,D,0.198,0.089,0.049,0.324,0.018,0.19,0.044,S,0.577,0.051,2.19,5958,0.276,1867.5,169596000,S,0.01,S,0.1,364853000,S,0.008,6139,0.89,12462,28107,0.834,NA,455700,0.065,0.848,0.07,7.14,0.001,36422,0.528,34777000,0.93,60756,59,0,7,14,38,291,60,189,42,5
Avenal,15505,19.42,798.4037075,27.8,NA,0.214,0.377,0.479,0.034,0.007,0.04,0.022,241,0.375,0.071,4.33,3467,0.302,798.3,NA,S,0.012,S,0.718,21437000,S,0.105,2410,0.39,14674,1244,0.154,NA,170100,0.806,0.784,0.057,19.42,Z,9995,0.276,D,0.412,33350,57,2,2,8,45,143,63,66,14,10
Azusa,46361,9.66,4799.275362,28.3,1444554000,0.268,0.174,0.324,0.186,0.087,0.077,0.047,3248,0.527,0.075,3.39,12641,0.369,4801.3,404002000,0.282,0.012,S,0.676,426971000,S,0.032,13386,0.576,44712,9287,0.193,NA,385200,0.581,0.844,0.037,9.66,0.002,18576,0.51,44630000,0.747,51894,226,2,11,63,150,1136,276,731,129,1
Bakersfield,347483,142.16,2444.309229,22.1,820806000,0.315,0.173,0.182,0.199,0.062,0.084,0.049,27628,0.604,0.09,3.1,105648,0.243,2444.2,3299857000,S,0.015,S,0.455,5104097000,0.055,0.082,120725,0.568,247057,16336,0.378,NA,245100,0.364,0.788,0.406,142.16,0.001,23022,0.51,593070000,0.781,53997,2104,33,34,641,1396,15197,4235,8507,2455,103
Baldwin Park,75390,6.63,11371.04072,30,383007000,0.299,0.159,0.459,0.116,0.142,0.08,0.037,4756,0.62,0.078,4.24,17600,0.197,11369.3,546819000,S,0.009,0.205,0.801,643851000,0.034,0.012,17736,0.439,75837,8398,0.043,NA,358800,0.817,0.9,-0.006,6.63,0.001,15228,0.504,66504000,0.567,50346,253,2,8,102,141,1752,306,940,506,11
Banning,29603,23.1,1281.515152,23.5,176554000,0.229,0.146,0.196,0.176,0.052,0.259,0.049,1873,0.726,0.062,2.4,11871,0.111,1281.6,95879000,0.307,0.022,S,0.411,233203000,S,0.073,12144,0.647,23562,8152,0.434,NA,233200,0.323,0.848,0.256,23.1,0.001,21020,0.517,39181000,0.811,38979,155,3,7,32,113,546,278,205,63,0
Barstow,22639,41.38,547.1000483,25.3,NA,0.298,0.214,0.11,0.094,0.032,0.107,0.078,1537,0.52,0.092,2.79,8063,0.322,547,75622000,0.419,0.021,0.15,0.428,580452000,S,0.146,9555,0.523,21119,23807,0.342,NA,154400,0.219,0.771,0.072,41.38,0.012,19643,0.501,88412000,0.789,45166,190,6,8,45,131,777,263,371,143,13
Beaumont,36877,30.91,1193.044322,32.3,131748000,0.302,0.11,0.187,0.241,0.077,0.105,0.052,1990,0.755,0.091,2.93,11058,0.118,1193,1215000,0.288,0.015,S,0.403,298126000,S,0.062,12908,0.628,11384,10053,0.429,NA,278000,0.332,0.803,2.239,30.91,0.002,24755,0.512,25034000,0.846,66121,87,0,6,16,65,781,173,543,65,6
Bell,35477,2.5,14190.8,28.5,396628000,0.32,0.226,0.469,0.038,0.007,0.068,0.044,2224,0.278,0.088,3.82,9000,0.262,14185.1,639470000,0.341,0.009,S,0.931,212422000,0.03,0.009,9217,0.538,36664,5840,0.049,NA,340300,0.891,0.9,-0.032,2.5,Z,12671,0.496,41813000,0.423,38473,241,1,12,90,138,601,176,285,140,0
Bell Gardens,42072,2.46,17102.43902,28.1,237609000,0.34,0.227,0.47,0.045,0.006,0.052,0.031,2305,0.25,0.093,4.18,10040,0.224,17109.4,155824000,0.187,0.011,S,0.957,186612000,0.035,0.009,9986,0.495,44054,4220,0.027,NA,394600,0.934,0.918,-0.045,2.46,0.001,12146,0.501,48475000,0.421,39167,210,5,5,112,88,940,150,391,399,4
Bellflower,76616,6.12,12518.95425,26.7,NA,0.284,0.131,0.3,0.177,0.116,0.086,0.047,5738,0.393,0.076,3.13,24091,0.369,12525.1,76304000,0.249,0.01,0.203,0.523,438235000,S,0.14,24897,0.422,72878,6048,0.195,NA,423400,0.541,0.851,0.051,6.12,0.008,20345,0.514,61838000,0.771,50565,415,1,24,176,214,1776,413,906,457,7
Belmont,25835,4.62,5591.991342,25.4,NA,0.209,0.036,0.237,0.575,0.199,0.149,0.061,2754,0.595,0.066,2.4,10347,0.361,5590.8,D,0.259,0.003,0.175,0.115,363791000,F,0.016,11028,0.676,25123,14968,0.613,NA,900100,0.298,0.857,0.028,4.62,0.008,52376,0.512,45820000,0.956,99913,26,0,0,8,18,367,69,268,30,1
Benicia,26997,12.93,2087.935035,29.7,D,0.234,0.052,0.105,0.412,0.111,0.125,0.067,3180,0.71,0.048,2.47,10916,0.246,2088.1,859050000,0.332,0.005,S,0.12,175481000,S,0.056,11306,0.725,26865,6709,0.661,NA,515200,0.12,0.895,0.005,12.93,0.004,43112,0.519,35419000,0.947,87018,50,1,7,15,27,471,136,268,67,4
Berkeley,112580,10.47,10752.62655,25.6,D,0.123,0.189,0.215,0.682,0.193,0.117,0.062,15932,0.433,0.037,2.25,43189,0.531,10752.6,620305000,0.336,0.004,0.114,0.108,1274593000,0.039,0.1,49454,0.595,102743,12700,0.547,NA,731100,0.287,0.715,0.096,10.47,0.002,36498,0.511,323802000,0.941,58617,533,5,23,365,140,5943,1088,4240,615,25
Beverly Hills,34109,5.71,5973.555166,26.2,NA,0.194,0.079,0.386,0.592,0.089,0.191,0.049,14897,0.44,0.038,2.33,14612,0.632,5975.6,725710000,0.23,0.001,0.069,0.057,2512020000,0.035,0.022,16394,0.824,33784,73716,0.786,NA,1000001,0.471,0.882,0.01,5.71,Z,66769,0.543,648940000,0.947,83463,75,3,4,35,33,985,263,677,45,3
Big Bear Lake,5019,6.35,790.3937008,12.7,NA,0.198,0.211,0.14,0.252,0.016,0.204,0.033,1597,0.555,0.05,2.39,2091,0.104,790.9,D,S,0.01,F,0.214,162779000,F,0.004,9705,0.838,5438,26764,0.733,NA,390500,0.151,0.772,-0.077,6.35,0.002,25795,0.489,68490000,0.804,32299,28,0,1,5,22,253,58,190,5,0
Blythe,20817,0.59,35283.05085,14.8,NA,0.2,0.168,0.148,0.074,0.015,0.086,0.032,821,0.579,0.053,2.76,4634,0.276,794.9,84596000,S,0.012,S,0.532,196129000,S,0.15,5473,0.595,12155,8673,0.283,NA,174700,0.432,0.724,0.713,26.19,0.002,14279,0.314,28227000,0.693,41856,77,0,3,13,61,605,256,332,17,28
Brawley,24953,1.96,12731.12245,18.9,D,0.326,0.247,0.225,0.101,0.014,0.101,0.04,1115,0.539,0.095,3.43,7053,0.27,3248.2,166620000,0.309,0.01,S,0.815,151294000,F,0.02,8231,0.544,22052,6780,0.149,NA,181500,0.693,0.846,0.132,7.68,0.001,17879,0.515,22555000,0.614,39676,53,0,5,10,38,1102,354,622,126,11
Brea,39282,7.68,5114.84375,28.2,1690620000,0.231,0.057,0.217,0.409,0.182,0.126,0.044,5491,0.659,0.055,2.67,14386,0.27,3252.4,4709817000,0.257,0.005,0.169,0.25,1079584000,S,0.014,14785,0.671,35410,28476,0.527,NA,598600,0.297,0.869,0.109,12.08,0.002,36115,0.512,211058000,0.925,79647,71,1,3,28,39,1471,197,1200,74,4
Brentwood,51481,12.08,4261.672185,39.7,NA,0.312,0.054,0.152,0.282,0.079,0.114,0.069,4061,0.801,0.07,3.12,14805,0.075,3481.7,24375000,0.279,0.006,0.076,0.268,463187000,S,0.066,17523,0.679,23302,9686,0.543,NA,471600,0.243,0.863,1.209,14.79,0.004,32374,0.515,58610000,0.893,89515,112,0,6,41,65,1117,214,796,107,21
Buena Park,80530,10.52,7654.942966,28.1,1671405000,0.253,0.098,0.37,0.266,0.267,0.106,0.051,6408,0.568,0.065,3.45,23026,0.33,7652,1769989000,0.312,0.011,0.381,0.393,1649776000,S,0.038,24623,0.453,78282,21091,0.277,NA,485000,0.533,0.851,0.029,10.52,0.006,22966,0.507,173161000,0.811,63295,241,0,13,82,146,2007,355,1270,382,10
Burbank,103340,17.34,5959.630911,25.2,1028529000,0.198,0.082,0.324,0.351,0.116,0.133,0.048,15737,0.442,0.05,2.47,41365,0.507,5959.3,6364389000,0.3,0.005,0.116,0.245,2276864000,S,0.025,44309,0.727,100316,22386,0.583,NA,608800,0.445,0.865,0.03,17.34,0.001,33320,0.516,427292000,0.877,63356,221,0,13,98,110,2687,478,1933,276,8
Burlingame,28806,4.41,6531.972789,25.9,364282000,0.217,0.072,0.268,0.534,0.203,0.14,0.05,4071,0.502,0.065,2.33,11526,0.473,6537.9,935449000,0.306,0.003,0.176,0.138,819353000,S,0.012,13027,0.677,28158,30154,0.605,NA,1000001,0.333,0.872,0.023,4.41,0.005,49532,0.525,286469000,0.941,81849,59,0,5,20,34,702,108,520,74,1
Calabasas,23058,12.9,1787.44186,29.9,278253000,0.253,0.06,0.264,0.642,0.086,0.126,0.04,4517,0.761,0.049,2.71,8339,0.212,1787.3,822741000,S,0.002,S,0.064,887694000,S,0.016,8878,0.839,20033,40427,0.795,NA,962700,0.289,0.861,0.151,12.9,Z,61595,0.517,61935000,0.973,116403,13,0,1,3,9,321,83,220,18,2
Calexico,38572,8.39,4597.377831,21.5,NA,0.311,0.221,0.449,0.126,0.013,0.114,0.042,3528,0.558,0.077,3.8,9561,0.254,4596.8,346684000,0.312,0.005,0.051,0.968,545246000,S,0.003,10651,0.6,27109,14699,0.017,NA,209900,0.939,0.887,0.423,8.39,0.001,14472,0.527,44759000,0.544,34848,77,0,5,34,38,1429,518,584,327,5
California City,14120,203.52,69.37893082,30.2,NA,0.244,0.23,0.094,0.111,0.026,0.084,0.056,440,0.626,0.07,3.07,4326,0.12,69.4,NA,0.286,0.009,F,0.381,21868000,S,0.152,5210,0.651,8385,1605,0.399,NA,174400,0.218,0.747,0.684,203.52,0.004,19269,0.41,7356000,0.801,47038,56,3,4,2,47,475,184,257,34,0
Calimesa,7879,14.85,530.5723906,32.9,NA,0.179,0.137,0.111,0.148,0.013,0.259,0.03,648,0.863,0.046,2.48,3176,0.014,530.7,D,S,0.013,F,0.224,49405000,F,0.011,3687,0.86,7139,6686,0.727,NA,233700,0.181,0.853,0.104,14.85,0.001,22951,0.52,11696000,0.876,48945,18,0,2,6,10,166,65,81,20,2
Calipatria,7705,3.72,2071.236559,22.3,NA,0.162,0.172,0.286,0.067,0.012,0.046,0.029,127,0.649,0.042,3.72,1867,0.129,2073.5,D,F,0.01,F,0.641,8827000,F,0.209,1121,0.417,7289,1162,0.125,NA,124900,0.74,0.825,0.057,3.72,0.003,15504,0.232,D,0.586,38586,15,0,0,0,15,19,12,7,0,0
Calistoga,5155,2.6,1982.692308,24.5,NA,0.226,0.105,0.301,0.293,0.009,0.187,0.067,642,0.584,0.068,2.5,2060,0.207,1986.5,5563000,S,0.004,F,0.494,56230000,F,0.005,2319,0.725,5190,10870,0.477,NA,328500,0.4,0.865,-0.007,2.6,0.002,27444,0.509,55511000,0.854,50128,8,0,2,2,4,126,25,97,4,0
Camarillo,65201,19.53,3338.504864,22,1530398000,0.232,0.047,0.159,0.383,0.102,0.172,0.048,7954,0.719,0.057,2.66,23698,0.172,3338.8,647168000,0.297,0.006,S,0.229,1276245000,S,0.019,25702,0.751,57077,20394,0.618,NA,558200,0.251,0.84,0.142,19.53,0.002,37470,0.516,146160000,0.917,81518,54,0,3,12,39,972,167,763,42,13
Campbell,39349,5.8,6784.310345,23.2,371548000,0.21,0.076,0.204,0.439,0.161,0.112,0.061,5054,0.521,0.066,2.36,16308,0.4,6786.7,470039000,0.281,0.007,S,0.184,691368000,S,0.029,16950,0.669,38138,18243,0.581,NA,698400,0.289,0.847,0.032,5.8,0.004,43199,0.51,130856000,0.921,79464,83,0,10,32,41,1451,319,1017,115,18
Canyon Lake,10561,3.93,2687.277354,43,NA,0.217,0.05,0.065,0.276,0.018,0.171,0.032,1247,0.846,0.049,2.82,3769,0.033,2688.6,27575000,0.346,0.006,S,0.123,10359000,F,0.012,4532,0.899,9952,941,0.817,NA,446600,0.09,0.806,0.061,3.93,0.003,34948,0.501,6010000,0.942,83845,10,0,0,3,7,223,45,146,32,1
Capitola,9918,1.59,6237.735849,26,NA,0.166,0.094,0.106,0.37,0.043,0.155,0.047,1567,0.422,0.051,2.04,4684,0.454,6226,16067000,0.336,0.006,S,0.197,561596000,F,0.012,5534,0.803,10033,59246,0.713,NA,531900,0.18,0.771,-0.011,1.59,0.001,33698,0.524,67389000,0.924,52389,113,0,3,11,99,708,78,608,22,3
Carlsbad,105328,37.72,2792.364793,28.7,3775194000,0.241,0.072,0.136,0.511,0.071,0.14,0.042,14442,0.678,0.06,2.48,40152,0.279,2792.2,2305154000,0.278,0.005,S,0.133,2270143000,S,0.013,44673,0.828,78247,24138,0.749,NA,656000,0.176,0.851,0.346,37.72,0.002,44587,0.511,551765000,0.959,84728,195,0,20,41,134,1820,399,1313,108,9
Carpinteria,13040,2.59,5034.749035,20.3,272658000,0.214,0.107,0.236,0.259,0.023,0.138,0.041,1435,0.572,0.058,2.61,5031,0.368,5042.5,113656000,0.217,0.011,S,0.487,169555000,F,0.008,5429,0.717,14194,12427,0.466,NA,669200,0.403,0.844,-0.081,2.59,0.001,31672,0.507,29055000,0.768,63834,39,0,3,3,33,184,26,149,9,0
Carson,91714,18.72,4899.252137,25.6,12083287000,0.24,0.08,0.337,0.243,0.256,0.138,0.048,8019,0.762,0.057,3.63,24903,0.109,4898.2,4918742000,0.327,0.006,0.307,0.386,1703900000,0.164,0.238,26226,0.238,89730,18594,0.077,NA,422100,0.523,0.909,0.022,18.72,0.026,23318,0.521,123963000,0.791,68425,499,6,12,130,351,2326,441,1421,464,12
Cathedral City,51200,21.5,2381.395349,19.6,NA,0.271,0.163,0.318,0.166,0.05,0.144,0.042,3928,0.673,0.069,2.83,17837,0.19,2381.5,44194000,0.341,0.011,S,0.588,962679000,S,0.026,20995,0.635,42647,18643,0.323,NA,294500,0.541,0.838,0.201,21.5,0.001,22374,0.486,69543000,0.737,45693,249,3,17,49,180,1505,556,660,289,9
Ceres,45417,8.01,5670.037453,26.5,122036000,0.322,0.169,0.267,0.094,0.068,0.077,0.055,2657,0.669,0.087,3.39,12922,0.134,5669.3,205572000,S,0.013,S,0.56,402942000,0.015,0.026,13673,0.577,34609,9531,0.314,NA,256200,0.523,0.804,0.312,8.01,0.008,18154,0.505,49993000,0.665,50124,168,3,7,57,101,1946,360,1134,452,9
Cerritos,49041,8.73,5617.525773,30,852162000,0.204,0.061,0.461,0.505,0.619,0.177,0.038,5767,0.813,0.039,3.3,14957,0.064,5620.7,5247747000,S,0.003,0.59,0.12,2681521000,S,0.069,15859,0.231,51488,52718,0.166,NA,633500,0.613,0.913,-0.048,8.73,0.003,32778,0.519,145831000,0.939,88743,93,0,3,49,41,1696,301,1167,228,6
Chico,86187,32.92,2618.074119,17.1,504636000,0.195,0.212,0.088,0.342,0.042,0.106,0.05,7478,0.449,0.057,2.42,33849,0.368,2617.8,434070000,0.323,0.014,0.033,0.154,1642266000,0.011,0.021,37050,0.808,59954,19626,0.737,NA,312000,0.16,0.665,0.438,32.92,0.002,23510,0.504,207836000,0.905,41835,245,1,47,88,109,2347,710,1416,221,33
Chino,77983,29.64,2631.005398,30.7,1902873000,0.253,0.062,0.247,0.178,0.105,0.073,0.046,6838,0.72,0.067,3.42,20030,0.202,2631.1,2468770000,0.235,0.01,0.17,0.538,951959000,0.019,0.062,21797,0.564,67168,11609,0.278,NA,425000,0.478,0.784,0.161,29.64,0.002,22580,0.486,115753000,0.748,71659,264,0,13,76,175,2009,479,1314,216,14
Chino Hills,74799,44.68,1674.104745,36.7,NA,0.271,0.041,0.269,0.425,0.303,0.07,0.049,6716,0.833,0.058,3.34,22249,0.118,1674.1,79223000,0.359,0.005,S,0.291,597678000,0.041,0.046,23617,0.508,66787,8106,0.334,NA,567100,0.403,0.901,0.12,44.68,0.002,35392,0.506,81192000,0.923,103891,80,1,5,16,58,978,239,657,82,7
Chowchilla,18720,7.66,2443.86423,31.4,NA,0.191,0.184,0.127,0.074,0.021,0.07,0.038,657,0.485,0.054,3.3,3200,0.158,2443.5,19314000,S,0.02,S,0.378,93799000,F,0.126,4154,0.616,11127,5049,0.421,NA,208200,0.339,0.693,0.682,7.66,0.002,10947,0.701,9783000,0.624,39902,64,0,5,5,54,344,153,168,23,5
Chula Vista,243916,49.63,4914.688696,26.8,1233192000,0.279,0.096,0.308,0.264,0.144,0.1,0.058,17538,0.603,0.072,3.17,71813,0.295,4914.6,1156576000,0.321,0.008,0.154,0.582,2754128000,0.049,0.046,79416,0.537,173556,12839,0.204,NA,445000,0.571,0.857,0.405,49.63,0.006,24646,0.516,333513000,0.815,63779,663,2,54,254,353,5124,760,3255,1109,24
Citrus Heights,83301,14.23,5853.900211,25.5,NA,0.231,0.118,0.131,0.189,0.033,0.133,0.054,6876,0.583,0.067,2.51,33436,0.312,5854.7,11963000,0.305,0.009,0.068,0.165,1151783000,0.028,0.033,35075,0.803,85071,13744,0.726,NA,277500,0.181,0.801,-0.021,14.23,0.004,25497,0.515,120519000,0.89,53552,385,4,25,155,201,3931,756,2675,500,17
Claremont,34926,13.35,2616.179775,26.8,118296000,0.185,0.064,0.173,0.528,0.131,0.165,0.052,3118,0.668,0.037,2.58,11174,0.23,2616.6,84065000,0.285,0.005,S,0.198,442775000,0.023,0.047,12156,0.706,33998,12818,0.589,NA,594600,0.252,0.836,0.027,13.35,0.001,36407,0.531,64375000,0.929,82012,49,0,5,26,18,877,231,595,51,5
Clayton,10897,3.84,2837.760417,31.8,NA,0.244,0.031,0.118,0.551,0.066,0.147,0.044,1214,0.922,0.043,2.81,3852,0.051,2840.7,D,S,0.003,F,0.09,56921000,F,0.013,4086,0.851,10762,5144,0.793,NA,685400,0.137,0.915,0.013,3.84,0.001,53423,0.517,7516000,0.986,135643,15,0,0,9,6,142,38,96,8,2
Clearlake,15250,10.13,1505.429418,27.6,NA,0.24,0.329,0.1,0.061,0.011,0.15,0.064,448,0.483,0.071,2.4,6223,0.145,1505.6,D,0.196,0.026,F,0.213,161949000,F,0.04,8035,0.738,13142,10852,0.672,NA,145500,0.147,0.818,0.16,10.13,0.002,14921,0.5,13194000,0.788,26382,73,0,9,20,44,584,188,310,86,2
Cloverdale,8618,2.65,3252.075472,27.7,NA,0.238,0.064,0.169,0.246,0.011,0.16,0.037,572,0.638,0.066,2.53,3242,0.118,3254.5,D,S,0.018,F,0.328,44786000,F,0.006,3427,0.749,6831,5528,0.625,NA,446500,0.266,0.878,0.262,2.65,0.001,26725,0.501,7023000,0.802,54309,19,0,5,2,12,174,39,123,12,5
Clovis,95631,23.28,4107.860825,20.9,719167000,0.281,0.102,0.116,0.3,0.107,0.106,0.048,7548,0.623,0.072,2.85,31867,0.249,4108.2,87606000,0.333,0.014,0.094,0.256,1569508000,0.019,0.027,35306,0.709,68468,17472,0.575,NA,314700,0.213,0.843,0.397,23.28,0.002,27375,0.518,132359000,0.896,63229,165,2,31,55,77,3569,755,2428,386,22
Coachella,40704,28.95,1406.010363,20.3,108278000,0.388,0.237,0.41,0.047,0.007,0.045,0.026,2261,0.653,0.11,4.38,8705,0.208,1406,178212000,S,0.007,S,0.964,197723000,S,0.008,9903,0.481,22724,5186,0.023,NA,204200,0.877,0.847,0.791,28.95,0.001,12019,0.502,27799000,0.453,43018,193,2,3,74,114,1623,551,667,405,11
