City,American Indian- and Alaska Native-owned firms percent 2007  ,Mean travel time to work (minutes) workers age 16+ 2006-2010  ,Manufacturers shipments 2007 (1000)  ,Persons under 18 years percent 2010  ,Persons below poverty level percent 2006-2010  ,Foreign born persons percent  2006-2010  ,Native Hawaiian and Other Pacific Islander-owned firms percent 2007  ,Bachelor's degree or higher pct of persons age 25+ 2006-2010  ,Asian persons percent 2010 (a)  ,Persons 65 years and over percent  2010  ,Hispanic-owned firms percent 2007  ,Population 2010  ,Persons reporting two or more races percent 2010  ,Total number of firms 2007  ,Homeownership rate 2006-2010  ,Persons under 5 years percent 2010  ,Persons per household 2006-2010  ,FIPS Code  ,Households 2006-2010  ,Housing units in multi-unit structures percent 2006-2010  ,Persons per square mile 2010  ,Merchant wholesaler sales 2007 (1000)  ,Women-owned firms percent 2007  ,American Indian and Alaska Native persons percent 2010 (a)  ,Asian-owned firms percent 2007  ,Persons of Hispanic or Latino origin percent 2010 (b)  ,Retail sales 2007 (1000)  ,Black-owned firms percent 2007  ,Black persons percent 2010 (a)  ,Housing units 2010  ,White persons percent 2010 (a)  ,Population 2000  ,Retail sales per capita 2007  ,White persons not Hispanic percent 2010  ,Population 2011 estimate  ,Median value of owner-occupied housing units 2006-2010  ,Language other than English spoken at home pct age 5+ 2006-2010  ,Living in same house 1 year &amp; over 2006-2010  ,Population percent change 2000 to 2010  ,Land area in square miles 2010  ,Native Hawaiian and Other Pacific Islander percent 2010 (a)  ,Per capita money income in past 12 months (2010 dollars) 2006-2010  ,Female persons percent 2010  ,Accommodation and food services sales 2007 (1000)  ,High school graduates percent of persons age 25+ 2006-2010  ,Median household income 2006-2010  
Mount Pleasant (village),F,19.5,4040569000,0.205,0.057,0.045,F,0.265,0.021,0.198,S,26197,0.02,1466,0.777,0.054,2.29,54875,11183,0.311,776.7,113427000,0.175,0.002,0.023,0.083,393126000,F,0.067,11827,0.86,NA,15033,0.813,NA,193900,0.091,0.916,NA,33.73,Z,31151,0.521,56907000,0.902,58505
Kaukauna ,F,19.1,452018000,0.258,0.079,0.018,F,0.172,0.013,0.122,F,15462,0.016,1281,0.702,0.079,2.37,38800,6331,0.267,2017.7,147137000,S,0.008,F,0.026,194106000,F,0.007,6596,0.945,12983,12767,0.931,NA,137400,0.032,0.88,0.191,7.66,Z,25401,0.505,9171000,0.906,53034
Beaver Dam ,F,19,361584000,0.251,0.104,0.04,F,0.191,0.01,0.161,F,16214,0.015,1129,0.616,0.069,2.27,5900,7034,0.36,2387.2,271368000,0.355,0.003,S,0.075,296533000,F,0.008,7326,0.93,15169,19478,0.894,NA,123500,0.078,0.82,0.069,6.79,Z,23207,0.516,30897000,0.873,44384
Oconomowoc ,F,23.8,564518000,0.263,0.027,0.032,F,0.366,0.01,0.147,F,15759,0.012,1980,0.771,0.074,2.48,59250,6139,0.242,1365.4,48719000,0.191,0.002,F,0.035,281523000,F,0.005,6662,0.96,12382,19607,0.938,NA,238400,0.044,0.889,0.273,11.54,Z,33418,0.523,30358000,0.96,71162
Franklin ,F,23.4,1014679000,0.216,0.041,0.068,F,0.346,0.054,0.134,S,35451,0.015,2355,0.803,0.053,2.54,27300,12233,0.242,1025.1,212868000,0.278,0.004,0.057,0.045,460115000,0.014,0.049,14356,0.871,29494,12664,0.838,NA,239800,0.107,0.839,0.202,34.58,Z,33362,0.489,33923000,0.919,78349
Prairie du Chien ,F,15.3,D,0.216,0.134,0.016,F,0.155,0.003,0.183,F,5911,0.009,650,0.669,0.053,2.16,65050,2468,0.271,1050.5,87280000,S,0.004,S,0.012,99684000,F,0.045,2594,0.936,6018,17373,0.928,NA,103000,0.035,0.809,-0.018,5.63,0,20268,0.476,16829000,0.9,35417
Lake Hallie (village),F,19.6,NA,0.261,0.082,0.025,F,0.203,0.024,0.101,F,6448,0.015,432,0.703,0.079,2.65,41525,2315,0.132,457.5,9765000,S,0.006,F,0.017,49484000,F,0.006,2554,0.943,NA,8417,0.934,NA,156500,0.04,0.826,NA,14.09,0,24836,0.494,861000,0.907,60264
Glendale ,S,20.2,705536000,0.187,0.068,0.072,F,0.463,0.032,0.226,F,12872,0.023,1588,0.692,0.047,2.12,29400,5888,0.351,2233.2,363960000,0.268,0.002,0.04,0.036,651581000,0.048,0.141,6191,0.794,13367,50424,0.77,NA,215300,0.104,0.88,-0.037,5.76,0.001,34300,0.536,68306000,0.941,60437
Shorewood (village),F,19.4,NA,0.192,0.116,0.126,F,0.653,0.056,0.13,S,13162,0.023,1594,0.466,0.05,2.12,73725,6209,0.604,8278,D,S,0.002,0.042,0.034,122433000,S,0.029,6750,0.881,13763,9268,0.858,NA,297300,0.141,0.78,-0.044,1.59,Z,38953,0.532,19015000,0.965,59691
Cudahy ,F,20.7,1171240000,0.215,0.135,0.066,F,0.197,0.014,0.157,S,18267,0.027,1014,0.61,0.066,2.31,17975,7788,0.447,3833.6,68959000,0.284,0.009,F,0.097,152652000,F,0.027,8662,0.888,18429,8155,0.841,NA,159600,0.124,0.858,-0.009,4.77,Z,23587,0.509,13041000,0.855,47500
Cottage Grove (village),F,24.1,NA,0.325,0.037,0.032,F,0.408,0.022,0.077,F,6192,0.02,275,0.756,0.085,2.9,17175,1984,0.141,1777.3,170542000,S,0.002,F,0.03,72345000,F,0.025,2289,0.921,4059,12692,0.903,NA,251900,0.081,0.847,0.525,3.48,0,29606,0.51,3104000,0.951,75833
Beloit ,F,20,1522900000,0.271,0.215,0.083,F,0.152,0.011,0.12,0.03,36966,0.044,2003,0.661,0.077,2.51,6500,14143,0.236,2127.8,297935000,S,0.004,F,0.171,467068000,0.085,0.151,15177,0.689,35775,12713,0.635,NA,89800,0.16,0.823,0.033,17.37,Z,18145,0.521,53648000,0.801,37102
Wausau ,S,15.5,1578973000,0.235,0.151,0.075,F,0.228,0.111,0.157,F,39106,0.023,3361,0.606,0.073,2.27,84475,16667,0.338,2082.5,434354000,0.243,0.008,0.033,0.029,969051000,0.019,0.014,18154,0.837,38426,25496,0.82,NA,111800,0.139,0.817,0.018,18.78,Z,23436,0.509,82093000,0.861,41304
Greenfield ,F,22.4,NA,0.176,0.059,0.069,F,0.245,0.039,0.205,0.017,36720,0.023,2818,0.608,0.05,2.17,31175,16338,0.444,3190.3,22445000,0.258,0.007,S,0.084,858256000,0.011,0.023,17790,0.886,35476,23818,0.833,NA,186400,0.125,0.868,0.035,11.51,Z,28393,0.524,D,0.888,50637
Evansville ,F,26.5,NA,0.293,0.089,0.042,F,0.272,0.007,0.113,F,5012,0.015,F,0.703,0.086,2.67,24550,1796,0.232,1543.6,NA,F,0.005,F,0.036,NA,F,0.008,2067,0.96,4039,NA,0.933,NA,173500,0.053,0.897,0.241,3.25,0,24013,0.511,NA,0.922,62716
Antigo ,F,12.2,294816000,0.235,0.149,0.018,F,0.131,0.004,0.191,F,8234,0.017,695,0.683,0.068,2.13,2250,3732,0.295,1259.6,400910000,0.158,0.014,F,0.027,263092000,F,0.005,3972,0.951,8560,32533,0.938,NA,77600,0.038,0.876,-0.038,6.54,0,18696,0.521,15975000,0.857,36597
Fox Point (village),F,19.6,NA,0.228,0.032,0.102,F,0.717,0.037,0.184,F,6701,0.014,800,0.863,0.053,2.38,27075,2689,0.169,2313.1,797000,S,0.001,S,0.024,72379000,F,0.028,2928,0.915,7012,10642,0.896,NA,293600,0.113,0.917,-0.044,2.9,0,59221,0.51,9939000,0.987,96350
Manitowoc ,F,16.3,1995179000,0.222,0.098,0.043,F,0.186,0.046,0.188,0.032,33736,0.019,1973,0.671,0.062,2.22,48500,14919,0.32,1913.7,170821000,0.248,0.006,F,0.05,529366000,0.025,0.01,15955,0.899,34053,16060,0.876,NA,108600,0.087,0.87,-0.009,17.63,Z,24533,0.518,57354000,0.884,41919
Elkhorn ,F,22.6,294114000,0.275,0.075,0.046,F,0.246,0.007,0.119,F,10084,0.016,1185,0.674,0.082,2.47,23300,3883,0.342,1299.3,212886000,0.197,0.002,F,0.11,143862000,F,0.012,4043,0.914,7305,15847,0.86,NA,178900,0.076,0.858,0.38,7.76,Z,24161,0.503,13533000,0.907,53987
Green Bay ,0.009,18,5193400000,0.247,0.155,0.077,F,0.207,0.04,0.113,0.028,104057,0.031,6836,0.586,0.077,2.37,31000,42909,0.37,2288.6,1327712000,0.26,0.041,0.008,0.134,1474627000,0.015,0.035,45241,0.779,102313,14628,0.733,NA,132100,0.146,0.827,0.017,45.47,0.001,23045,0.506,203680000,0.854,42135
Chippewa Falls ,F,19,907108000,0.229,0.137,0.005,F,0.177,0.009,0.164,S,13661,0.014,1332,0.569,0.071,2.18,14575,6030,0.365,1201.6,49040000,0.232,0.007,F,0.016,767073000,F,0.017,6304,0.951,12925,59247,0.94,NA,119900,0.017,0.807,0.057,11.37,Z,22712,0.493,27205000,0.889,40010
Lake Geneva ,F,23.9,D,0.227,0.169,0.158,F,0.301,0.015,0.167,S,7651,0.016,1460,0.482,0.064,2.28,41450,3327,0.437,1169.2,111479000,0.23,0.002,F,0.173,273613000,F,0.006,4225,0.876,7148,34006,0.796,NA,200300,0.231,0.743,0.07,6.54,Z,25652,0.525,122360000,0.83,47873
Oshkosh ,F,16.5,3869065000,0.186,0.161,0.035,F,0.218,0.032,0.129,0.011,66083,0.017,3676,0.591,0.055,2.26,60500,25081,0.373,2582.3,600739000,0.202,0.008,S,0.027,1021034000,S,0.031,28179,0.905,62916,15965,0.889,NA,118400,0.064,0.768,0.05,25.59,Z,21768,0.488,125175000,0.872,42435
Platteville ,F,18.5,D,0.113,0.245,0.008,F,0.386,0.017,0.107,S,11224,0.01,688,0.505,0.032,2.3,63250,3588,0.392,2057.9,12032000,S,0.002,F,0.016,184622000,F,0.021,3840,0.947,9989,18507,0.936,NA,136400,0.021,0.585,0.124,5.45,0,16523,0.437,18475000,0.937,38293
Plover (village),F,16.8,532757000,0.253,0.058,0.035,F,0.316,0.038,0.11,F,12123,0.015,914,0.648,0.071,2.54,63525,4644,0.287,1171.4,86375000,0.17,0.004,F,0.032,317953000,F,0.005,5188,0.928,10520,27194,0.911,NA,155100,0.059,0.824,0.152,10.35,Z,27672,0.509,21451000,0.915,59714
West Bend ,F,22.3,522830000,0.247,0.09,0.019,F,0.225,0.008,0.146,S,31078,0.017,2533,0.639,0.073,2.31,85350,13123,0.389,2133.7,102585000,0.131,0.004,F,0.039,633798000,0.01,0.01,13546,0.948,28152,21295,0.927,NA,180000,0.049,0.84,0.104,14.57,Z,27118,0.517,50176000,0.891,51763
Fort Atkinson ,F,20.2,671313000,0.239,0.11,0.057,F,0.235,0.007,0.146,F,12368,0.014,1012,0.673,0.064,2.44,26675,4904,0.277,2182.1,363733000,S,0.003,F,0.091,169358000,F,0.006,5429,0.925,11621,14206,0.883,NA,153500,0.089,0.819,0.064,5.67,Z,23782,0.515,20336000,0.865,52345
